GSA SFP Name,GSA SFP Key,NIST Name,NIST Category,Treasury Bureau Name,Treasury Agency Short Name,OMB Name,OMB Category,OMB Sub-Category,Parent,GSA SFP Entity Type,OMB Agency Code,OMB Bureau Code,Treasury Agency Code,Treasury Bureau Code,CGAC Agency Code,NIST Agency Code,NIST Bureau Code,OMB Agency Code Owner,OMB Bureau Code Owner,Treasury Agency Code Owner,Treasury Bureau Code Owner,CGAC Agency Code Owner,NIST Agency Code Owner,NIST Bureau Code Owner
ED Office of Innovation and Improvement (OII),436,Office of Innovation and Improvement,,,,Office of Innovation and Improvement,Department of Education,,ED Office of the Deputy Secretary,Bureau,018,12,91,00,091,91,50,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
ED Office of Safe and Healthy Students (OSHS),437,Office of Safe and Drug-Free Schools,,,,,,,ED Office of Elementary and Secondary Education (OESE),Bureau,018,10,91,00,091,91,55,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
ED Advisory Councils and Committees,438,Advisory Councils and Committees,Associated Federal Organization,,,,,,Independent Federal Agencies,Ind Agency,,,95,00,,91,6A,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
National Assessment Governing Board (NAGB),439,National Assessment Governing Board,Associated Federal Organization,,,,,,ED Advisory Councils and Committees,Bureau,,,95,00,,91,6B,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Federal Interagency Committee on Education (FICE),441,Federal Interagency Committee on Education,Associated Federal Organization,,,,,,ED Advisory Councils and Committees,Bureau,,,95,00,,91,6D,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Student Loan Marketing Association (Sallie Mae),442,Student Loan Marketing Association (Sallie Mae),Government-Sponsored Enterprise,,,,,,"Industry, Non-Profits, Associations",GSE,,,,,,91,81,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
College Construction Loan Insurance Association (Connie Lee),443,College Construction Loan Insurance Association (Connie Lee),Government-Sponsored Enterprise,,,,,,"Industry, Non-Profits, Associations",GSE,,,,,,91,82,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
American Printing House for the Blind (APHB),444,American Printing House for the Blind,Federally Aided Organization,,,,,,"Industry, Non-Profits, Associations",Nonprofit,,,,,,91,91,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Gallaudet University,445,Gallaudet University,Federally Aided Organization,,,,,,"Industry, Non-Profits, Associations",Nonprofit,,,,,,91,92,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Howard University,446,Howard University,Federally Aided Organization,,,,,,"Industry, Non-Profits, Associations",Nonprofit,,,,,,91,93,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
National Technical Institute for the Deaf,447,National Technical Institute for the Deaf,Federally Aided Organization,,,,,,"Industry, Non-Profits, Associations",Nonprofit,,,,,,91,94,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
US Department of Energy (DOE),448,"ENERGY, Department of",,DEPARTMENT OF ENERGY,DOE,Department of Energy,Department of Energy,,Federal Executive Branch,Agency,019,00,89,00,089,89,00,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
DOE Office of the Secretary,449,Office of the Secretary,,,,Departmental Administration,Department of Energy,,US Department of Energy (DOE),Bureau,019,60,89,00,089,89,01,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
DOE Office of General Counsel (OGC),450,Office of General Counsel,,,,,,,DOE Deputy Secretary,Bureau,019,60,89,00,089,89,03,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
DOE Office of Inspector General (OIG),451,Office of Inspector General,,,,,,,DOE Office of the Secretary,Bureau,019,60,89,00,089,89,04,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
DOE Office of the Chief Financial Officer (OCFO),452,Office of the Chief Financial Officer,,,,,,,DOE Deputy Secretary,Bureau,019,60,89,00,089,89,3C,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
DOE Office of Chief Information Officer (OCIO),453,Office of Chief Information Officer,,,,,,,DOE Under Secretary for Management and Performance,Bureau,019,60,89,00,089,89,1N,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
DOE Assistant Secretary for Congressional and Intergovernmental Affairs,454,Assistant Secretary for Congressional and Intergovernmental Affairs,,,,,,,DOE Deputy Secretary,Bureau,019,60,89,00,089,89,05,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
DOE Office of Public Affairs,455,Office of Public Affairs,,,,,,,DOE Deputy Secretary,Bureau,019,60,89,00,089,89,15,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
DOE Assistant Secretary for International Affairs,456,Assistant Secretary for Policy and International Affairs,,,,,,,DOE Deputy Secretary,Bureau,019,60,89,00,089,89,38,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
DOE Office of Economic Impact and Diversity (OEID),457,Office of Economic Impact and Diversity,,,,,,,DOE Under Secretary for Management and Performance,Bureau,019,60,89,00,089,89,1C,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
DOE Office of Hearings and Appeals (OHA),458,Office of Hearings and Appeals,,,,,,,DOE Under Secretary for Management and Performance,Bureau,019,60,89,00,089,89,06,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
DOE Office of Human Capital Management (OHCM),459,Office of Human Capital Management,,,,,,,DOE Under Secretary for Management and Performance,Bureau,019,60,89,00,089,89,3H,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
DOE Office of Intelligence and Counterintelligence (OICI) ,460,Office of Intelligence,,,,,,,DOE Deputy Secretary,Bureau,019,60,89,00,089,89,29,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
DOE Office of the Secretary of Energy Advisory Board (SEAB),461,Office of the Secretary of Energy Advisory Board,,,,,,,DOE Office of the Secretary,Bureau,019,60,89,00,089,89,2E,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"DOE Assoc Under Secretary for Environment, Health, Safety and Security (EHSS)",462,"Office of Health, Safety and Security",,,,,,,DOE Under Secretary for Management and Performance,Bureau,019,60,89,00,089,89,1H,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
DOE Office of Management,463,Office of Management,,,,,,,DOE Under Secretary for Management and Performance,Bureau,019,60,89,00,089,89,3M,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
DOE Assistant Secretary for Electricity Delivery and Energy Reliability (OE),465,Office of Electricity Delivery and Energy Reliability,,,,,,,DOE Under Secretary for Science and Energy,Bureau,019,60,89,00,089,89,2L,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
DOE Energy Information Administration (EIA),466,Office of Energy Information Administration,,,,,,,DOE Deputy Secretary,Bureau,019,60,89,00,089,89,32,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
DOE Office of Legacy Management (OLM),467,Office of Legacy Management,,,,,,,DOE Under Secretary for Management and Performance,Bureau,019,60,89,00,089,89,36,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
DOE Office of the Departmental Representative to the DNFSB,468,Office of the Departmental Representative to the Defense Nuclear Facilities Safety Board,,,,,,,"DOE Assoc Under Secretary for Environment, Health, Safety and Security (EHSS)",Bureau,019,60,89,00,089,89,1S,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
DOE Assistant Secretary for Energy Efficiency and Renewable Energy (EERE),469,Assistant Secretary for Energy Efficiency and Renewable Energy,,,,,,,DOE Under Secretary for Science and Energy,Bureau,019,60,89,00,089,89,21,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
DOE Assistant Secretary for Environmental Management (EM),471,Assistant Secretary for Environmental Management,,,,,,,DOE Under Secretary for Management and Performance,Bureau,019,60,89,00,089,89,17,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
DOE Assistant Secretary for Fossil Energy (FE),472,Assistant Secretary for Fossil Energy,,,,,,,DOE Under Secretary for Science and Energy,Bureau,019,60,89,00,089,89,28,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
DOE Assistant Secretary for Nuclear Energy (NE),473,"Office of Nuclear Energy, Science and Technology",,,,,,,DOE Under Secretary for Science and Energy,Bureau,019,60,89,00,089,89,27,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
DOE National Nuclear Security Administration (NNSA),474,National Nuclear Security Administration (NNSA),,NNSA/DOE/NSMC,DOE,National Nuclear Security Administration,Department of Energy,,DOE Under Secretary for Nuclear Security and NNSA Administrator,Bureau,019,05,89,40,089,89,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
DOE Under Secretary for Nuclear Security and NNSA Administrator,475,Office of the National Nuclear Security Administrator,National Nuclear Security Administration (NNSA),,,,,,DOE Deputy Secretary,Bureau,019,60,89,00,089,89,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
DOE Deputy Under Secretary for Counterterrorism and Counterproliferation,476,Deputy Under Secretary for Counterterrorism,National Nuclear Security Administration (NNSA),,,,,,DOE National Nuclear Security Administration (NNSA),Bureau,019,05,89,40,089,89,N0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
DOE NNSA Deputy Administrator for Defense Nuclear Nonproliferation,477,Deputy Administrator for Defense Nuclear Nonproliferation,National Nuclear Security Administration (NNSA),,,,,,DOE National Nuclear Security Administration (NNSA),Bureau,019,05,89,40,089,89,N2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
DOE NNSA Deputy Administrator for Defense Programs,478,Deputy Administration for Defense Programs,National Nuclear Security Administration (NNSA),,,,,,DOE National Nuclear Security Administration (NNSA),Bureau,019,05,89,40,089,89,N1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
DOE NNSA Deputy Administrator for Naval Reactors,479,Deputy Administrator for Naval Reactors,National Nuclear Security Administration (NNSA),,,,,,DOE National Nuclear Security Administration (NNSA),Bureau,019,05,89,40,089,89,N3,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
DOE NNSA Office of Emergency Operations,480,Office of Emergency Operations,National Nuclear Security Administration (NNSA),,,,,,DOE National Nuclear Security Administration (NNSA),Bureau,019,05,89,40,089,89,N4,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
DOE NNSA Associate Administrator for Management and Budget,482,Associate Administrator for Management and Administration,National Nuclear Security Administration (NNSA),,,,,,DOE National Nuclear Security Administration (NNSA),Bureau,019,05,89,40,089,89,N6,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
DOE NNSA Associate Administrator for Acquisition and Project Management,483,,,,,,,,DOE National Nuclear Security Administration (NNSA),Bureau,019,05,89,40,089,89,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DOE NNSA Associate Administrator for Defense Nuclear Security,484,Associate Administrator for Defense Nuclear Security,National Nuclear Security Administration (NNSA),,,,,,DOE National Nuclear Security Administration (NNSA),Bureau,019,05,89,40,089,89,N7,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
DOE NNSA Pittsburgh Naval Reactors (Bechtel-Bettis Atomic Power Laboratory),486,Pittsburgh Naval Reactors,National Nuclear Security Administration (NNSA),PITTSBURGH NAVAL REACTORS OFFICE,DOE,,,,DOE NNSA Deputy Administrator for Naval Reactors,Bureau,019,05,89,11,089,89,X1,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
DOE NNSA Schenectady Naval Reactors (Knolls Atomic Power Laboratory),487,Schenectady Naval Reactors,National Nuclear Security Administration (NNSA),SCHENECTADY NAVAL REACTORS OFFICE,DOE,,,,DOE NNSA Deputy Administrator for Naval Reactors,Bureau,019,05,89,07,089,89,X2,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
DOE NNSA Y_12 National Security Complex,488,Y-12 Site Office,National Nuclear Security Administration (NNSA),,,,,,DOE National Nuclear Security Administration (NNSA),Bureau,019,05,89,40,089,89,XQ,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
DOE NNSA Production Office (NPO),489,Pantex Site Office,National Nuclear Security Administration (NNSA),,,,,,DOE National Nuclear Security Administration (NNSA),Bureau,019,05,89,40,089,89,XR,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
DOE NNSA Sandia Site Office,490,Sandia Site Office,National Nuclear Security Administration (NNSA),,,,,,DOE National Nuclear Security Administration (NNSA),Bureau,019,05,89,40,089,89,XS,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
DOE NNSA Kansas City Site Office,491,Kansas City Site Office,National Nuclear Security Administration (NNSA),,,,,,DOE National Nuclear Security Administration (NNSA),Bureau,019,05,89,40,089,89,XT,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
DOE NNSA Los Alamos Site Office,492,Los Alamos Site Office,National Nuclear Security Administration (NNSA),,,,,,DOE National Nuclear Security Administration (NNSA),Bureau,019,05,89,40,089,89,XU,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
DOE NNSA Nevada Site Office,493,Nevada Site Office,National Nuclear Security Administration (NNSA),,,,,,DOE National Nuclear Security Administration (NNSA),Bureau,019,05,89,40,089,89,XV,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
DOE NNSA Livermore Site Office,494,Livermore Site Office,National Nuclear Security Administration (NNSA),,,,,,DOE National Nuclear Security Administration (NNSA),Bureau,019,05,89,40,089,89,XW,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
DOE NNSA Savannah River Site Office,495,Savannah River Site Office,National Nuclear Security Administration (NNSA),,,,,,DOE National Nuclear Security Administration (NNSA),Bureau,019,05,89,40,089,89,SV,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
DOE NNSA Service Center,496,National Nuclear Security Administration Service Center,National Nuclear Security Administration (NNSA),ALBUQUERQUE OPERATIONS OFFICE,DOE,,,,DOE National Nuclear Security Administration (NNSA),Bureau,019,05,89,05,089,89,ZA,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
DOE Power Marketing Administrations (PMA),497,,,,,Power Marketing Administration,Department of Energy,,DOE Deputy Secretary,Carrier,019,50,89,00,089,89,01,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
DOE Bonneville Power Administration (BPA),498,Bonneville Power Marketing Administration,Power Marketing Administration,BONNEVILLE POWER ADMINISTRATION,DOE,,,,DOE Power Marketing Administrations (PMA),Bureau,019,50,89,14,089,89,BP,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
DOE Southeastern Power Administration (SEPA),499,Southeastern Power Marketing Administration,Power Marketing Administration,SOUTHEASTERN POWER ADMINISTRATION,DOE,,,,DOE Power Marketing Administrations (PMA),Bureau,019,50,89,15,089,89,SE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
DOE Southwestern Power Administration (SWPA),500,Southwestern Power Marketing Administration,Power Marketing Administration,SOUTHWESTERN POWER ADMINISTRATION,DOE,,,,DOE Power Marketing Administrations (PMA),Bureau,019,50,89,16,089,89,SW,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
DOE Western Area Power Marketing Administration (WAPA),501,Western Area Power Marketing Administration,Power Marketing Administration,WESTERN AREA POWER ADMINISTRATION,DOE,,,,DOE Power Marketing Administrations (PMA),Bureau,019,50,89,12,089,89,WA,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
DOE Office of Science (SC),502,Office of Science,,,,,,,DOE Under Secretary for Science and Energy,Bureau,019,60,89,00,089,89,25,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
DOE SC Ames Site Office (AMSO),503,Ames Site Office,Site Office,,,,,,DOE Office of Science (SC),Bureau,019,60,89,00,089,89,BC,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
DOE SC Argonne Site Office (ASO),504,Argonne Site Office,Site Office,,,,,,DOE Office of Science (SC),Bureau,019,60,89,00,089,89,BD,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
DOE SC Berkeley Site Office (BSO),505,Berkeley Site Office,Site Office,,,,,,DOE Office of Science (SC),Bureau,019,60,89,00,089,89,BE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
DOE SC Brookhaven Site Office (BHSO),506,Brookhaven Site Office,Site Office,,,,,,DOE Office of Science (SC),Bureau,019,60,89,00,089,89,BF,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
DOE SC Chicago Office (CH),507,Chicago Office,Site Office,CHICAGO OPERATIONS OFFICE,DOE,,,,DOE Office of Science (SC),Bureau,019,60,89,09,089,89,BA,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
DOE SC Fermi Site Office (FSO),508,Fermi Site Office,Site Office,,,,,,DOE Office of Science (SC),Bureau,019,60,89,00,089,89,BG,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
DOE SC Oak Ridge Office (OR),509,Oak Ridge Office,Site Office,OAK RIDGE OPERATIONS OFFICE,DOE,,,,DOE Office of Science (SC),Bureau,019,60,89,18,089,89,BB,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
DOE SC Pacific Northwest Site Office (PNSO),510,Pacific Northwest Site Office,Site Office,,,,,,DOE Office of Science (SC),Bureau,019,60,89,00,089,89,BH,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
DOE SC Princeton Site Office (PSO),511,Princeton Site Office,Site Office,,,,,,DOE Office of Science (SC),Bureau,019,60,89,00,089,89,BI,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
DOE SC Stanford Site Office (SSO),512,Stanford Site Office,Site Office,,,,,,DOE Office of Science (SC),Bureau,019,60,89,00,089,89,BJ,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
DOE SC Thomas Jefferson Site Office (TJSO),513,Thomas Jefferson Site Office,Site Office,,,,,,DOE Office of Science (SC),Bureau,019,60,89,00,089,89,BK,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
DOE NNSA Albuquerque Operations Office (AOO),514,Albuquerque Operations Office (non-NNSA) (EM),Field Office,,,,,,DOE Office of Science (SC),Bureau,019,60,89,00,089,89,AL,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
DOE SC Carlsbad Field Office (CBFO),515,Carlsbad Field Office,Field Office,,,,,,DOE Office of Science (SC),Bureau,019,60,89,00,089,89,CB,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
DOE FE Casper Naval Petroleum and Oil Shale Reserve (NPOSR),516,Casper Naval Pet & Oil Shale Reserves,Field Office,NAVAL PETROLEUM AND OIL SHALE RESERVES,DOE,,,,DOE Assistant Secretary for Fossil Energy (FE),Bureau,019,60,89,13,089,89,81,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
DOE EM Consolidated Business Center (EMCBC),517,Consolidated Business Center,Field Office,,,,,,DOE Assistant Secretary for Environmental Management (EM),Bureau,019,60,89,00,089,89,55,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
DOE EERE Golden Field Office,519,Golden Field Office,Field Office,,,,,,DOE Assistant Secretary for Energy Efficiency and Renewable Energy (EERE),Bureau,019,60,89,00,089,89,GO,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
DOE Idaho Operations Office,520,Idaho Operations Office,Field Office,IDAHO OPERATIONS OFFICE,DOE,,,,DOE Office of Science (SC),Bureau,019,60,89,08,089,89,ID,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
DOE Nevada Operations Office,521,Nevada Operations Office (non-National Nuclear Security Administration) (Environmental Management),Field Office,NEVADA OPERATIONS OFFICE,DOE,,,,DOE Assistant Secretary for Environmental Management (EM),Bureau,019,60,89,04,089,89,NV,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
DOE OFE National Energy Technology Laboratory (NETL),522,National Energy Technology Laboratory,Field Office,,,,,,DOE Assistant Secretary for Fossil Energy (FE),Bureau,019,60,89,00,089,89,NE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
DOE Office of River Protection (ORP),523,Office of River Protection,Field Office,,,,,,DOE Assistant Secretary for Environmental Management (EM),Bureau,019,60,89,00,089,89,RP,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
DOE Portsmouth/Paducah Project Office (PPPO),525,Portsmouth & Paducah Project Office,Field Office,,,,,,DOE Assistant Secretary for Environmental Management (EM),Bureau,019,60,89,00,089,89,PP,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
DOE Richland Operations Office,526,Richland Operations Office,Field Office,RICHLAND OPERATIONS OFFICE,DOE,,,,DOE Office of Science (SC),Bureau,019,60,89,01,089,89,RL,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
DOE Savannah River Operations Office,528,Savannah River Operations Office,Field Office,SAVANNAH RIVER OPERATIONS OFFICE,DOE,,,,DOE Office of Science (SC),Bureau,019,60,89,10,089,89,SR,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
DOE Strategic Petroleum Reserve (SPR),529,Strategic Petroleum Reserves,Field Office,STRAT. PETRO. RESERVE PROJ MGMT OFC,DOE,,,,DOE Assistant Secretary for Fossil Energy (FE),Bureau,019,60,89,03,089,89,74,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
Federal Energy Regulatory Commission (FERC),530,Federal Energy Regulatory Commission,Associated Federal Organization,FEDERAL ENERGY REGULATORY COMMISSION,DOE,,,,DOE Office of the Secretary,Ind Agency,019,60,89,02,089,89,90,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
US Department of Health and Human Services (HHS),531,"HEALTH AND HUMAN SERVICES, Department of",,DEPARTMENT OF HEALTH AND HUMAN SERVICES,HHS,Department of Health and Human Services,Department of Health and Human Services,,Federal Executive Branch,Agency,009,00,75,00,075,75,00,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
HHS Office of the Secretary,532,Office of the Secretary of Health and Human Services,,OFFICE OF THE SECRETARY,HHS,Departmental Management,Department of Health and Human Services,,US Department of Health and Human Services (HHS),Bureau,009,90,75,01,075,75,0S,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Immediate Office of the Secretary of Health and Human Services (HHS),533,Immediate Office of the Secretary of Health and Human Services,,,,,,,HHS Office of the Secretary,Bureau,009,90,75,01,075,75,01,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
HHS Deputy Secretary,534,Office of the Deputy Secretary of Health and Human Services,,,,,,,HHS Office of the Secretary,Bureau,009,90,75,01,075,75,02,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
HHS Office of the General Counsel (OGC),535,Office of the General Counsel,,,,,,,HHS Office of the Secretary,Bureau,009,90,75,01,075,75,03,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
HHS Office of the Inspector General (OIG),536,Office of the Inspector General,,DEPARTMENTAL MANAGEMENT,HHS,Office of the Inspector General,Department of Health and Human Services,,HHS Office of the Secretary,Bureau,009,92,75,20,075,75,04,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
HHS Office of the Assistant Secretary for Administration and Management (ASAM),537,Office of Assistant Secretary for Administration and Management,,,,,,,HHS Office of the Secretary,Bureau,009,90,75,01,075,75,05,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
HHS Office of the Assistant Secretary for Planning and Evaluation (ASPE),538,Office of Assistant Secretary for Planning and Evaluation,,,,,,,HHS Office of the Secretary,Bureau,009,90,75,01,075,75,06,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
HHS Office of the Assistant Secretary for Legislation (ASL),539,Office of Assistant Secretary for Legislation,,,,,,,HHS Office of the Secretary,Bureau,009,90,75,01,075,75,07,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
HHS Office of the Assistant Secretary for Public Affairs (ASPA),540,Office of Assistant Secretary for Public Affairs,,,,,,,HHS Office of the Secretary,Bureau,009,90,75,01,075,75,08,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
HHS Office for Civil Rights (OCR),541,Office for Civil Rights,,,,,,,HHS Office of the Secretary,Bureau,009,90,75,01,075,75,11,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
HHS Office of the Assistant Secretary for Preparedness and Response (ASPR),542,Office of Assistant Secretary for Public Response,,,,,,,HHS Office of the Secretary,Bureau,009,90,75,01,075,75,12,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
HHS Office of the Surgeon General (OSG),543,Office of the Surgeon General,,,,,,,HHS Office of the Assistant Secretary for Health (OASH),Bureau,009,90,75,01,075,75,21,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
HHS Office of Public Health and Science (OPHS),544,Office of Public Health and Science,,,,,,,HHS Office of the Assistant Secretary for Health (OASH),Bureau,009,90,75,01,075,75,15,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
HHS Office of Intergovernmental and External Affairs (IEA),545,Office of Intergovernmental Affairs and Regional Directors,,,,,,,HHS Office of the Secretary,Bureau,009,90,75,01,075,75,09,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
HHS Departmental Appeals Board (DAB),547,Departmental Appeals Board,,,,,,,HHS Office of the Secretary,Bureau,009,90,75,01,075,75,16,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
US Public Health Service (USPHS),548,Public Health Service,,,,,,,HHS Office of the Surgeon General (OSG),Bureau,009,90,75,01,075,75,20,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
HHS Substance Abuse and Mental Health Services Administration (SAMHSA),549,Substance Abuse and Mental Health Services Administration,,ALCOHOL/DRUG ABUSE AND MENTAL HEALTH ADMINISTRATION,HHS,Substance Abuse and Mental Health Services Administration,Department of Health and Human Services,,HHS Office of the Secretary,Bureau,009,30,75,13,075,75,22,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
US Centers for Disease Control and Prevention (CDC),550,Centers for Disease Control and Prevention,,CENTER FOR DISEASE CONTROL,HHS,Centers for Disease Control and Prevention,Department of Health and Human Services,,HHS Office of the Secretary,Bureau,009,20,75,09,075,75,23,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
US Food and Drug Administration (FDA),551,Food and Drug Administration,,FOOD AND DRUG ADMINISTRATION,HHS,Food and Drug Administration,Department of Health and Human Services,,HHS Office of the Secretary,Bureau,009,10,75,06,075,75,24,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
HHS Agency for Toxic Substances and Disease Registry (ATSDR),552,Agency for Toxic Substances and Disease Registry,,,,,,,HHS Office of the Secretary,Bureau,009,90,75,01,075,75,25,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
HHS Health Resources and Services Administration (HRSA),553,Health Resources and Services Administration,,HEALTH RESOURCES AND SERVICES ADMINISTRATION,HHS,Health Resources and Services Administration,Department of Health and Human Services,,HHS Office of the Secretary,Bureau,009,15,75,03,075,75,26,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
HHS Indian Health Service (IHS),554,Indian Health Service,,INDIAN HEALTH SERVICE,HHS,Indian Health Service,Department of Health and Human Services,,HHS Office of the Secretary,Bureau,009,17,75,10,075,75,27,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
